,time_s,r,g,b
0,0.0,0.0,0.0,0.0
1,0.0020833333333333333,0.0,0.0,0.0
2,0.004166666666666667,0.0,0.0,0.0
3,0.00625,0.0,0.0,0.0
4,0.008333333333333333,0.0,0.0,0.0
5,0.010416666666666666,0.0,0.0,0.0
6,0.0125,0.0,0.0,0.0
7,0.014583333333333334,0.0,0.0,0.0
8,0.016666666666666666,0.0,0.0,0.0
9,0.01875,0.0,0.0,0.0
10,0.020833333333333332,0.0,0.0,0.0
11,0.022916666666666665,0.0,0.0,0.0
12,0.025,0.0,0.0,0.0
13,0.027083333333333334,0.0,0.0,0.0
14,0.029166666666666667,0.0,0.0,0.0
15,0.03125,0.0,0.0,0.0
16,0.03333333333333333,0.0,0.0,0.0
17,0.035416666666666666,0.0,0.0,0.0
18,0.0375,0.0,0.0,0.0
19,0.03958333333333333,0.0,0.0,0.0
20,0.041666666666666664,0.0,0.0,0.0
21,0.04375,0.0,0.0,0.0
22,0.04583333333333333,0.0,0.0,0.0
23,0.04791666666666667,1.8869038500816996e-06,6.175321691176471e-06,4.284428615196079e-06
24,0.05,6.598179636437909e-06,2.5080263225081702e-05,1.5530056423611113e-05
25,0.052083333333333336,1.5194961448120917e-05,4.4767093035130727e-05,3.0748953227124185e-05
26,0.05416666666666667,3.066517948325164e-05,8.745978860294119e-05,6.20444304023693e-05
27,0.05625,4.179910896650327e-05,0.00012714460784313727,9.13891761131536e-05
28,0.058333333333333334,6.148992800245099e-05,0.00019771401399101309,0.00013631982741013073
29,0.06041666666666667,8.088155509599674e-05,0.00027597065844566995,0.00019079270705678106
30,0.0625,0.00011774200239991832,0.0003668013429330066,0.00025151271446078433
31,0.06458333333333334,0.00013468823401756539,0.00046447354983660135,0.00031449461294934646
32,0.06666666666666667,0.00017780378753063728,0.0006131360421772876,0.00041325587852328435
33,0.06875,0.00024834925832312095,0.0008378890293096406,0.0005788446563521243
34,0.07083333333333333,0.0002987491383272059,0.0010299463209763073,0.000695489621629902
35,0.07291666666666667,0.0003718317567912582,0.0012769990808823531,0.0008619121476715687
36,0.075,0.00041878893484477127,0.0015470816419015524,0.0010166063495710784
37,0.07708333333333334,0.00046930450239991836,0.0017236168555964054,0.0011407829733455883
38,0.07916666666666666,0.0005384178410947713,0.002063327365451389,0.0013396259382659314
39,0.08125,0.0006257739098243464,0.002309063680810866,0.0015178326376123368
40,0.08333333333333333,0.0006291487949346406,0.0024702323963439543,0.0015521998187295752
41,0.08541666666666667,0.0007027938942504086,0.0026482436236213236,0.0017209799772773694
42,0.0875,0.0007123839933108661,0.002724868674683415,0.001743259803921569
43,0.08958333333333333,0.0007582680695976308,0.0028277388429330066,0.001849157794628268
44,0.09166666666666666,0.0007495276756535949,0.002973688661662582,0.0018943357779309643
45,0.09375,0.0007967321857128269,0.0030415094911662587,0.0019680806078941995
46,0.09583333333333334,0.0007746558095894609,0.003044086531096814,0.001951361762152778
47,0.09791666666666667,0.000808691884957108,0.003106809129901961,0.002012021931168301
48,0.1,0.0007694019990808824,0.0030627521190767977,0.001964195101868873
49,0.10208333333333333,0.0008081214256535948,0.0030757450278288403,0.0020008042279411765
50,0.10416666666666667,0.0007782860051572713,0.0031574244281045755,0.0020242848115808827
51,0.10625,0.0008305049721711602,0.0032311892041973042,0.0020839277279922387
52,0.10833333333333334,0.0008018104702818628,0.003131326912275327,0.002028780669168709
53,0.11041666666666666,0.0007819201899509805,0.0029663325291053927,0.0019265647339665034
54,0.1125,0.000759161656198938,0.002872122970281863,0.0018739428551368465
55,0.11458333333333333,0.0006849421083537583,0.0027073120915032684,0.0017262337877859478
56,0.11666666666666667,0.000685153537326389,0.002514616523692811,0.001650562161713644
57,0.11875,0.0006402029398999184,0.0024111719069138072,0.0015691221149918301
58,0.12083333333333333,0.0006266555287479576,0.0023274220983966506,0.0015323015599468955
59,0.12291666666666666,0.0006139259089052288,0.0023350215737336605,0.0015159696691176472
60,0.125,0.000619403116064134,0.002237261603860294,0.0014850810929840689
61,0.12708333333333333,0.0005791996974571079,0.002200205684487337,0.0014446941699857027
62,0.12916666666666668,0.000459997638378268,0.0022799941916870916,0.0012847222222222223
63,0.13125,0.0005635738996119282,0.002183893739787582,0.0013850512535743466
64,0.13333333333333333,0.0005720589830984478,0.0022345090379901965,0.0014170209099264707
65,0.13541666666666666,0.0005958906186172387,0.002257243636386847,0.0014611417483660133
66,0.1375,0.0006267752055249184,0.00251345964818219,0.0015542502808415033
67,0.13958333333333334,0.0006607195286968954,0.002511500938265932,0.0016115993923611113
68,0.14166666666666666,0.0006665717230902779,0.002574973511540033,0.001636484183517157
69,0.14375,0.0006850179036458334,0.0025911218979779416,0.001673133201848448
70,0.14583333333333334,0.0006615373200061275,0.0026250143612132357,0.0016439201005923204
71,0.14791666666666667,0.0006708362055759805,0.0024871945848651965,0.0016092617059844773
72,0.15,0.0006550149356617647,0.0025545127719056376,0.0016399707669526146
73,0.15208333333333332,0.0006936745238459968,0.0025198783126531865,0.0016431182661866832
74,0.15416666666666667,0.0006235957924836602,0.0024180054508782683,0.0015395619510825164
75,0.15625,0.0006472838158700981,0.002378831252553105,0.001545697380514706
76,0.15833333333333333,0.0006164869919321896,0.0023231456482332518,0.0015017281326593138
77,0.16041666666666668,0.0006217926623774511,0.0023092192606209154,0.0014939890344158498
78,0.1625,0.0005854149114072713,0.002290844886131536,0.0014660524854473041
79,0.16458333333333333,0.0005786731196384805,0.0021411890765420756,0.0014104067733864381
80,0.16666666666666666,0.0005665019914215687,0.0021393181295955885,0.0013907279220281865
