,Unnamed: 0,time_s,value
0,0,0.0,0.0
1,1,0.0020833333333333,0.0
2,2,0.0041666666666666,0.0
3,3,0.00625,0.0
4,4,0.0083333333333333,0.0
5,5,0.0104166666666666,0.0
6,6,0.0125,0.0
7,7,0.0145833333333333,0.0
8,8,0.0166666666666666,0.0
9,9,0.01875,0.0
10,10,0.0208333333333333,0.0
11,11,0.0229166666666666,0.0
12,12,0.025,0.0
13,13,0.0270833333333333,0.0
14,14,0.0291666666666666,0.0
15,15,0.03125,1.2226977379493465e-05
16,16,0.0333333333333333,3.839231004901961e-05
17,17,0.0354166666666666,9.58890229268791e-05
18,18,0.0375,0.0002129169538909
19,19,0.0395833333333333,0.0004055048126021
20,20,0.0416666666666666,0.0006726513033598
21,21,0.04375,0.0010194187538296
22,22,0.0458333333333333,0.0016660722720077
23,23,0.0479166666666666,0.0022698815040339
24,24,0.05,0.0031204203686683
25,25,0.0520833333333333,0.0038662899241727
26,26,0.0541666666666666,0.0046295205907883
27,27,0.05625,0.0053428300845077
28,28,0.0583333333333333,0.005917928857741
29,29,0.0604166666666666,0.0062603320950776
30,30,0.0625,0.0067307336345996
31,31,0.0645833333333333,0.0070829822814542
32,32,0.0666666666666666,0.0072825512854881
33,33,0.06875,0.0072353747000102
34,34,0.0708333333333333,0.0072411271637561
35,35,0.0729166666666666,0.0071921634050755
36,36,0.075,0.0068704841962826
37,37,0.0770833333333333,0.0067407465916053
38,38,0.0791666666666666,0.0065631023731107
39,39,0.08125,0.0059630988625919
40,40,0.0833333333333333,0.005639409083946
41,41,0.0854166666666666,0.00515309851154
42,42,0.0875,0.004770228566687
43,43,0.0895833333333333,0.0043366156684027
44,44,0.0916666666666666,0.004217489404616
45,45,0.09375,0.0040780659594566
46,46,0.0958333333333333,0.0039457872178819
47,47,0.0979166666666666,0.0040212753395629
48,48,0.1,0.0040056176279105
49,49,0.1020833333333333,0.00412353515625
50,50,0.1041666666666666,0.0043004732817606
51,51,0.10625,0.0045682979409211
52,52,0.1083333333333333,0.0047574949576184
53,53,0.1104166666666666,0.004741877138225
54,54,0.1125,0.0047966372421364
55,55,0.1145833333333333,0.0049469472847732
56,56,0.1166666666666666,0.0048373911739174
57,57,0.11875,0.004808385512408
58,58,0.1208333333333333,0.0047863570069955
59,59,0.1229166666666666,0.0045596133961397
60,60,0.125,0.0044187259050755
61,61,0.1270833333333333,0.0041960353477328
62,62,0.1291666666666666,0.0039063696767769
63,63,0.13125,0.0037412396599264
64,64,0.1333333333333333,0.0034101897594975
65,65,0.1354166666666666,0.0031423690895629
66,66,0.1375,0.0028768581814236
67,67,0.1395833333333333,0.002696844362745
68,68,0.1416666666666666,0.0026280501621221
69,69,0.14375,0.0026178098192401
70,70,0.1458333333333333,0.0026190105762357
71,71,0.1479166666666666,0.0026206780726613
72,72,0.15,0.0027627184500102
73,73,0.1520833333333333,0.0029234164368872
74,74,0.1541666666666666,0.003214462380004
75,75,0.15625,0.0034499264386744
76,76,0.1583333333333333,0.0036479994829963
77,77,0.1604166666666666,0.0038049077052696
78,78,0.1625,0.0040506599775326
79,79,0.1645833333333333,0.004177086524714
80,80,0.1666666666666666,0.0041711465673508
81,81,0.16875,0.004257182202308
82,82,0.1708333333333333,0.0040441455716401
