Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,70,146.58333333333331,101.79166666666666,55.08333333333333,HNFL,142,28,0.19718309859154928,14,14,142,28,0.19718309859154928,14,14
,,,,,,1003,163,0.1625124626121635,83,80,1003,172,0.17148554336989033,86,86
Quartile,70,149.08333333333331,101.79166666666666,54.75,HNFL,142,28,0.19718309859154928,13,15,142,28,0.19718309859154928,15,13
,,,,,,1003,165,0.16450648055832504,88,77,1003,168,0.1674975074775673,79,89
Quartile,70,150.29166666666669,102.58333333333334,54.29166666666667,HNFL,142,24,0.16901408450704225,11,13,142,26,0.18309859154929578,14,12
,,,,,,1003,156,0.15553339980059822,62,94,1003,159,0.1585244267198405,96,63
Quartile,70,152.20833333333334,101.91666666666666,52.833333333333336,HNFL,142,20,0.14084507042253522,11,9,142,22,0.15492957746478872,9,13
,,,,,,1003,171,0.17048853439680958,92,79,1003,177,0.17647058823529413,80,97
Quartile,70,151.5,102.16666666666666,57.208333333333336,HNFL,142,20,0.14084507042253522,9,11,142,22,0.15492957746478872,11,11
,,,,,,1003,164,0.16350947158524426,79,85,1003,172,0.17148554336989033,85,87
Quartile,70,144.625,101,54.5,HNFL,142,31,0.21830985915492956,15,16,142,31,0.21830985915492956,16,15
,,,,,,1003,169,0.16849451645064806,97,72,1003,173,0.17248255234297108,76,97
Quartile,70,149.70833333333331,102.79166666666666,58.333333333333336,HNFL,142,32,0.22535211267605634,17,15,142,32,0.22535211267605634,15,17
,,,,,,1003,181,0.18045862412761715,88,93,1003,184,0.18344965104685942,95,89
Quartile,70,150.25,102,53.541666666666664,HNFL,142,23,0.1619718309859155,12,11,142,25,0.176056338028169,13,12
,,,,,,1003,169,0.16849451645064806,85,84,1003,174,0.17347956131605186,86,88
Quartile,70,150.70833333333334,99.83333333333334,56.708333333333336,HNFL,142,22,0.15492957746478872,13,9,142,24,0.16901408450704225,9,15
,,,,,,1003,154,0.1535393818544367,87,67,1003,159,0.1585244267198405,69,90
