Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,68,228.91666666666669,155.5,82.20833333333334,HFNL,142,14,0.09859154929577464,7,7,142,14,0.09859154929577464,7,7
,,,,,,1004,105,0.10458167330677291,56,49,1004,105,0.10458167330677291,49,56
Quartile,68,224,150.79166666666669,79.75,HFNL,142,17,0.11971830985915492,8,9,142,16,0.11267605633802817,8,8
,,,,,,1004,102,0.10159362549800798,40,62,1004,96,0.09561752988047809,59,37
Quartile,68,225.79166666666669,150.79166666666669,81.79166666666667,HFNL,142,14,0.09859154929577464,6,8,142,14,0.09859154929577464,8,6
,,,,,,1004,105,0.10458167330677291,39,66,1004,102,0.10159362549800798,63,39
Quartile,68,222,153.5,83.04166666666667,HFNL,142,11,0.07746478873239436,5,6,142,11,0.07746478873239436,6,5
,,,,,,1004,107,0.10657370517928287,52,55,1004,105,0.10458167330677291,54,51
Quartile,68,227.58333333333331,153.25,79.16666666666666,HFNL,142,14,0.09859154929577464,6,8,142,12,0.08450704225352113,7,5
,,,,,,1004,102,0.10159362549800798,46,56,1004,97,0.09661354581673307,52,45
Quartile,68,230.625,156.91666666666669,83.625,HFNL,142,17,0.11971830985915492,8,9,142,16,0.11267605633802817,8,8
,,,,,,1004,111,0.11055776892430279,61,50,1004,107,0.10657370517928287,46,61
Quartile,68,237.58333333333331,154.08333333333331,80.33333333333333,HFNL,142,14,0.09859154929577464,8,6,142,14,0.09859154929577464,6,8
,,,,,,1004,103,0.10258964143426295,56,47,1004,102,0.10159362549800798,46,56
Quartile,68,227.33333333333331,154.41666666666669,85.54166666666666,HFNL,142,13,0.09154929577464789,7,6,142,13,0.09154929577464789,6,7
,,,,,,1004,110,0.10956175298804781,59,51,1004,104,0.10358565737051793,47,57
Quartile,68,225.79166666666669,154.08333333333331,83.58333333333333,HFNL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
,,,,,,1004,100,0.099601593625498,45,55,1004,97,0.09661354581673307,54,43
Quartile,68,224.08333333333331,156.25,79.91666666666667,HFNL,142,17,0.11971830985915492,9,8,142,17,0.11971830985915492,8,9
,,,,,,1004,106,0.10557768924302789,63,43,1004,103,0.10258964143426295,43,60
Quartile,68,221.33333333333331,153.70833333333331,79.29166666666667,HFNL,142,11,0.07746478873239436,4,7,142,11,0.07746478873239436,7,4
,,,,,,1004,104,0.10358565737051793,50,54,1004,102,0.10159362549800798,54,48
Quartile,68,220.04166666666669,154,80.83333333333334,HFNL,142,19,0.13380281690140844,10,9,142,17,0.11971830985915492,9,8
,,,,,,1004,99,0.09860557768924302,53,46,1004,96,0.09561752988047809,46,50
Quartile,68,228.45833333333331,156.5,81.375,HFNL,142,25,0.176056338028169,13,12,142,25,0.176056338028169,12,13
,,,,,,1004,110,0.10956175298804781,61,49,1004,110,0.10956175298804781,49,61
Quartile,68,230.70833333333334,154.33333333333334,82.83333333333334,HFNL,142,10,0.07042253521126761,5,5,142,9,0.06338028169014084,4,5
,,,,,,1004,108,0.10756972111553785,54,54,1004,104,0.10358565737051793,50,54
Quartile,68,224.20833333333334,155.79166666666666,81.04166666666666,HFNL,142,17,0.11971830985915492,8,9,142,16,0.11267605633802817,9,7
,,,,,,1004,108,0.10756972111553785,55,53,1004,106,0.10557768924302789,52,54
Quartile,68,230.375,156.29166666666666,80.16666666666666,HFNL,142,18,0.1267605633802817,8,10,142,16,0.11267605633802817,8,8
,,,,,,1004,96,0.09561752988047809,56,40,1004,94,0.09362549800796813,38,56
Quartile,68,229.375,155.66666666666669,81.04166666666666,HFNL,142,16,0.11267605633802817,9,7,142,16,0.11267605633802817,7,9
,,,,,,1004,107,0.10657370517928287,52,55,1004,107,0.10657370517928287,55,52
Quartile,68,224.41666666666669,154,79.79166666666667,HFNL,142,17,0.11971830985915492,8,9,142,17,0.11971830985915492,9,8
,,,,,,1004,99,0.09860557768924302,49,50,1004,96,0.09561752988047809,48,48
Quartile,68,230,157.29166666666669,81.20833333333333,HFNL,142,12,0.08450704225352113,7,5,142,12,0.08450704225352113,5,7
,,,,,,1004,110,0.10956175298804781,67,43,1004,108,0.10756972111553785,41,67
Quartile,68,228.58333333333334,156.70833333333331,84.95833333333334,HFNL,142,17,0.11971830985915492,8,9,142,16,0.11267605633802817,8,8
,,,,,,1004,97,0.09661354581673307,57,40,1004,96,0.09561752988047809,40,56
Quartile,68,224.70833333333331,161.04166666666669,82.45833333333334,HFNL,142,16,0.11267605633802817,9,7,142,16,0.11267605633802817,7,9
,,,,,,1004,119,0.11852589641434264,87,32,1004,116,0.11553784860557768,30,86
Quartile,68,228.91666666666666,154.04166666666669,81.5,HFNL,142,18,0.1267605633802817,9,9,142,17,0.11971830985915492,8,9
,,,,,,1004,109,0.10856573705179283,47,62,1004,106,0.10557768924302789,59,47
Quartile,68,225.20833333333331,155.5,80.33333333333334,HFNL,142,12,0.08450704225352113,6,6,142,12,0.08450704225352113,6,6
,,,,,,1004,98,0.09760956175298804,51,47,1004,97,0.09661354581673307,46,51
Quartile,68,222.875,157.875,83.125,HFNL,142,15,0.1056338028169014,7,8,142,15,0.1056338028169014,8,7
,,,,,,1004,108,0.10756972111553785,71,37,1004,103,0.10258964143426295,35,68
Quartile,68,228.875,153.25,80,HFNL,142,17,0.11971830985915492,9,8,142,17,0.11971830985915492,8,9
,,,,,,1004,119,0.11852589641434264,56,63,1004,118,0.11752988047808766,62,56
Quartile,68,226,152.70833333333334,82.25,HFNL,142,23,0.1619718309859155,11,12,142,21,0.14788732394366197,11,10
,,,,,,1004,110,0.10956175298804781,51,59,1004,108,0.10756972111553785,59,49
Quartile,68,232.54166666666666,152.29166666666669,80.75,HFNL,142,11,0.07746478873239436,6,5,142,11,0.07746478873239436,5,6
,,,,,,1004,109,0.10856573705179283,48,61,1004,106,0.10557768924302789,58,48
Quartile,68,227,152.54166666666669,83.91666666666667,HFNL,142,16,0.11267605633802817,8,8,142,15,0.1056338028169014,7,8
,,,,,,1004,108,0.10756972111553785,51,57,1004,106,0.10557768924302789,57,49
Quartile,68,229.625,150.91666666666669,79.20833333333334,HFNL,142,16,0.11267605633802817,7,9,142,14,0.09859154929577464,7,7
,,,,,,1004,104,0.10358565737051793,36,68,1004,99,0.09860557768924302,64,35
Quartile,68,228.91666666666666,153.54166666666669,79.58333333333333,HFNL,142,19,0.13380281690140844,9,10,142,19,0.13380281690140844,10,9
,,,,,,1004,103,0.10258964143426295,51,52,1004,100,0.099601593625498,49,51
Quartile,68,228.79166666666666,151.66666666666666,85.20833333333334,HFNL,142,17,0.11971830985915492,8,9,142,17,0.11971830985915492,9,8
,,,,,,1004,101,0.10059760956175298,38,63,1004,98,0.09760956175298804,60,38
Quartile,68,232,155.29166666666669,80.125,HFNL,142,14,0.09859154929577464,6,8,142,13,0.09154929577464789,7,6
,,,,,,1004,114,0.11354581673306773,58,56,1004,108,0.10756972111553785,52,56
