Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,77,175.5,110.20833333333333,42,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,9,0.00897308075772682,7,2,1003,4,0.003988035892323031,0,4
Quartile,77,173.875,108.875,41.833333333333336,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,12,0.011964107676969093,4,8,1003,1,0.0009970089730807576,1,0
Quartile,77,171.29166666666666,108.70833333333333,44.91666666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,11,7,1003,5,0.004985044865403789,0,5
Quartile,77,174,111.91666666666667,44.91666666666667,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,4,0.003988035892323031,3,1,1003,1,0.0009970089730807576,0,1
Quartile,77,172.625,108,43.25,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,6,10,1003,4,0.003988035892323031,2,2
Quartile,77,173.70833333333334,109.91666666666667,42.58333333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,7,7,1003,4,0.003988035892323031,0,4
Quartile,77,172.5,107.625,44.958333333333336,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,7,12,1003,2,0.0019940179461615153,2,0
Quartile,77,175,110.79166666666666,44.75,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,3,13,1003,0,0,0,0
Quartile,77,172,107.70833333333333,43.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,12,0.011964107676969093,8,4,1003,1,0.0009970089730807576,1,0
Quartile,77,174.70833333333331,109.70833333333334,43.58333333333333,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,1003,11,0.010967098703888335,4,7,1003,2,0.0019940179461615153,1,1
Quartile,77,175.95833333333331,112.5,43.41666666666667,HFNL,142,4,0.028169014084507043,3,1,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,7,11,1003,1,0.0009970089730807576,0,1
Quartile,77,172.5,107.41666666666666,41.541666666666664,HFNL,142,2,0.014084507042253521,2,0,142,1,0.007042253521126761,0,1
,,,,,,1003,15,0.014955134596211365,9,6,1003,3,0.0029910269192422734,0,3
Quartile,77,173,106,44.08333333333333,HFNL,142,2,0.014084507042253521,0,2,142,1,0.007042253521126761,1,0
,,,,,,1003,12,0.011964107676969093,5,7,1003,1,0.0009970089730807576,1,0
Quartile,77,173.91666666666669,109.875,41.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,17,0.01694915254237288,9,8,1003,1,0.0009970089730807576,0,1
Quartile,77,170.70833333333334,107.5,43.5,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,11,0.010967098703888335,7,4,1003,0,0,0,0
Quartile,77,170.29166666666669,107.08333333333333,43.708333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,11,0.010967098703888335,9,2,1003,2,0.0019940179461615153,0,2
Quartile,77,176.29166666666666,110.79166666666666,45.29166666666667,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1003,13,0.01296111665004985,4,9,1003,1,0.0009970089730807576,0,1
Quartile,77,175.70833333333331,111,44.041666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,5,13,1003,2,0.0019940179461615153,0,2
Quartile,77,174,106.70833333333333,42.708333333333336,HFNL,142,2,0.014084507042253521,1,1,142,1,0.007042253521126761,0,1
,,,,,,1003,19,0.018943170488534396,5,14,1003,5,0.004985044865403789,3,2
Quartile,77,178.5,107.91666666666667,43.541666666666664,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,17,0.01694915254237288,3,14,1003,4,0.003988035892323031,3,1
Quartile,77,170.58333333333331,107.58333333333333,43.708333333333336,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,10,0.009970089730807577,6,4,1003,1,0.0009970089730807576,1,0
Quartile,77,170.20833333333331,108.79166666666666,45.58333333333333,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,8,6,1003,3,0.0029910269192422734,2,1
Quartile,77,172.20833333333331,108.79166666666666,44.25,HFNL,142,5,0.035211267605633804,4,1,142,2,0.014084507042253521,0,2
,,,,,,1003,13,0.01296111665004985,5,8,1003,2,0.0019940179461615153,1,1
Quartile,77,176.29166666666669,104,41.208333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,12,0.011964107676969093,0,12,1003,2,0.0019940179461615153,2,0
Quartile,77,175.5,106.58333333333333,43.08333333333333,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,7,0.006979062811565304,2,5,1003,0,0,0,0
Quartile,77,172.58333333333331,106,42.54166666666667,HFNL,142,4,0.028169014084507043,3,1,142,2,0.014084507042253521,1,1
,,,,,,1003,10,0.009970089730807577,4,6,1003,2,0.0019940179461615153,2,0
Quartile,77,174.5,106,42.541666666666664,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,11,0.010967098703888335,4,7,1003,1,0.0009970089730807576,1,0
Quartile,77,171.70833333333331,105.08333333333333,42.041666666666664,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,10,0.009970089730807577,4,6,1003,1,0.0009970089730807576,1,0
Quartile,77,175.58333333333331,111.66666666666666,44.79166666666667,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,9,5,1003,6,0.005982053838484547,1,5
Quartile,77,172.58333333333331,106.70833333333334,44.541666666666664,HFNL,142,3,0.02112676056338028,2,1,142,2,0.014084507042253521,1,1
,,,,,,1003,17,0.01694915254237288,10,7,1003,2,0.0019940179461615153,0,2
Quartile,77,169.29166666666669,109.79166666666666,44.708333333333336,HFNL,142,2,0.014084507042253521,2,0,142,1,0.007042253521126761,0,1
,,,,,,1003,12,0.011964107676969093,7,5,1003,1,0.0009970089730807576,0,1
Quartile,77,170.79166666666666,107.79166666666666,44.458333333333336,HFNL,142,2,0.014084507042253521,2,0,142,1,0.007042253521126761,0,1
,,,,,,1003,14,0.013958125623130608,9,5,1003,1,0.0009970089730807576,0,1
Quartile,77,170.58333333333331,109.58333333333333,44.08333333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,10,0.009970089730807577,6,4,1003,3,0.0029910269192422734,0,3
Quartile,77,172,110,41.5,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,13,0.01296111665004985,7,6,1003,0,0,0,0
Quartile,77,173.20833333333334,104.70833333333333,42.375,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,10,6,1003,0,0,0,0
Quartile,77,171.375,106.20833333333334,43.25,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
