Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,80,195.91666666666669,114.5,34.25,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,10,6,1003,0,0,0,0
Quartile,80,198.70833333333331,113.5,36,HFNL,142,6,0.04225352112676056,3,3,142,0,0,0,0
,,,,,,1003,28,0.027916251246261216,13,15,1003,0,0,0,0
Quartile,80,195.66666666666666,115.29166666666666,37.458333333333336,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,9,5,1003,0,0,0,0
Quartile,80,194.79166666666669,115.5,35.208333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,26,0.0259222333000997,19,7,1003,0,0,0,0
Quartile,80,200,113.5,33.08333333333333,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,10,11,1003,0,0,0,0
Quartile,80,198.29166666666669,114.79166666666667,33.541666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,9,10,1003,0,0,0,0
Quartile,80,197.91666666666669,115.20833333333333,34.75,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,7,14,1003,0,0,0,0
Quartile,80,197.5,112.29166666666666,33.58333333333333,HFNL,142,5,0.035211267605633804,3,2,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,7,16,1003,0,0,0,0
Quartile,80,199.08333333333331,114.79166666666666,34.541666666666664,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,6,12,1003,0,0,0,0
Quartile,80,200.125,113.66666666666666,35.58333333333333,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,4,14,1003,0,0,0,0
Quartile,80,198.70833333333334,115.20833333333334,36.208333333333336,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,6,12,1003,0,0,0,0
Quartile,80,198,117.70833333333334,33.458333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,17,5,1003,0,0,0,0
Quartile,80,199.5,118.79166666666666,34.08333333333333,HFNL,142,5,0.035211267605633804,2,3,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,4,14,1003,0,0,0,0
Quartile,80,195.79166666666669,114.91666666666666,36.5,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,14,9,1003,0,0,0,0
Quartile,80,199.70833333333331,116.5,35.041666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,15,0.014955134596211365,2,13,1003,0,0,0,0
Quartile,80,201.5,115.29166666666666,34.958333333333336,HFNL,142,5,0.035211267605633804,1,4,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,2,12,1003,0,0,0,0
Quartile,80,199.83333333333334,115.70833333333333,33.208333333333336,HFNL,142,4,0.028169014084507043,1,3,142,0,0,0,0
,,,,,,1003,10,0.009970089730807577,3,7,1003,0,0,0,0
Quartile,80,199.91666666666669,116.5,33.5,HFNL,142,3,0.02112676056338028,0,3,142,0,0,0,0
,,,,,,1003,29,0.028913260219341975,14,15,1003,0,0,0,0
Quartile,80,198,117.20833333333333,35.708333333333336,HFNL,142,4,0.028169014084507043,0,4,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,10,12,1003,0,0,0,0
Quartile,80,196.58333333333331,115,34.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,12,0.011964107676969093,4,8,1003,0,0,0,0
Quartile,80,201.20833333333334,113.20833333333333,34.458333333333336,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,4,15,1003,0,0,0,0
Quartile,80,192.79166666666666,116.33333333333334,34,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,15,5,1003,0,0,0,0
Quartile,80,201,115.70833333333334,34.041666666666664,HFNL,142,4,0.028169014084507043,1,3,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,5,14,1003,0,0,0,0
Quartile,80,199,117.70833333333333,35.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,8,11,1003,0,0,0,0
Quartile,80,198.875,115.41666666666667,35.91666666666667,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,10,9,1003,0,0,0,0
Quartile,80,200.29166666666669,116.70833333333334,34.208333333333336,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,4,15,1003,0,0,0,0
Quartile,80,198.20833333333331,114.29166666666666,36,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,8,13,1003,0,0,0,0
Quartile,80,198.29166666666669,112.29166666666666,32.25,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,9,9,1003,0,0,0,0
Quartile,80,199,117.70833333333334,32.208333333333336,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,7,14,1003,0,0,0,0
Quartile,80,199.20833333333331,116.29166666666666,32,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,8,10,1003,0,0,0,0
Quartile,80,201.70833333333331,117,37.708333333333336,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,1003,26,0.0259222333000997,4,22,1003,0,0,0,0
Quartile,80,193.83333333333334,114.91666666666667,35,HFNL,142,6,0.04225352112676056,3,3,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,15,6,1003,0,0,0,0
Quartile,80,193.70833333333334,114.70833333333333,34.208333333333336,HFNL,142,6,0.04225352112676056,3,3,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,17,4,1003,0,0,0,0
Quartile,80,197.41666666666669,113.79166666666666,34.208333333333336,HFNL,142,4,0.028169014084507043,0,4,142,0,0,0,0
,,,,,,1003,25,0.024925224327018942,13,12,1003,0,0,0,0
Quartile,80,199.20833333333331,116,36,HFNL,142,7,0.04929577464788732,2,5,142,0,0,0,0
,,,,,,1003,24,0.023928215353938187,9,15,1003,0,0,0,0
Quartile,80,200,116.29166666666666,33.29166666666667,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,9,13,1003,0,0,0,0
Quartile,80,198.5,114.29166666666666,33,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,11,9,1003,0,0,0,0
Quartile,80,196.5,115.29166666666666,34.41666666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,21,0.020937188434695914,10,11,1003,0,0,0,0
Quartile,80,198.08333333333331,116.41666666666666,36,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,17,0.01694915254237288,7,10,1003,0,0,0,0
Quartile,80,199.5,120,35.541666666666664,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,13,0.01296111665004985,5,8,1003,0,0,0,0
Quartile,80,203.29166666666669,113,33.625,HFNL,142,6,0.04225352112676056,2,4,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,6,17,1003,0,0,0,0
Quartile,80,199.16666666666666,117.41666666666666,34.041666666666664,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,1003,15,0.014955134596211365,5,10,1003,0,0,0,0
Quartile,80,196.5,112.79166666666666,33,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,15,0.014955134596211365,9,6,1003,0,0,0,0
Quartile,80,197.20833333333334,117.08333333333333,33.58333333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,11,12,1003,0,0,0,0
Quartile,80,197.20833333333331,118,34.208333333333336,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,6,8,1003,0,0,0,0
Quartile,80,197.29166666666666,114,35.708333333333336,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,11,9,1003,0,0,0,0
Quartile,80,197,115.20833333333333,33.541666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,12,10,1003,0,0,0,0
Quartile,80,195.5,115,34.08333333333333,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,8,6,1003,0,0,0,0
Quartile,80,200,112.5,37.541666666666664,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,7,11,1003,0,0,0,0
Quartile,80,198.79166666666666,116.79166666666667,34.58333333333333,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,15,0.014955134596211365,7,8,1003,0,0,0,0
Quartile,80,198.91666666666669,113.83333333333334,34.458333333333336,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,24,0.023928215353938187,11,13,1003,0,0,0,0
Quartile,80,196.29166666666669,115,36.708333333333336,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,12,10,1003,0,0,0,0
Quartile,80,198.70833333333334,115.41666666666666,32.875,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,25,0.024925224327018942,9,16,1003,0,0,0,0
Quartile,80,202.79166666666666,118,34.958333333333336,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,17,0.01694915254237288,2,15,1003,0,0,0,0
Quartile,80,200.58333333333331,113.20833333333333,35.58333333333333,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,6,14,1003,0,0,0,0
Quartile,80,199.58333333333331,114.20833333333333,35,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,8,11,1003,0,0,0,0
Quartile,80,201,114.29166666666666,33.5,HFNL,142,5,0.035211267605633804,2,3,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,8,12,1003,0,0,0,0
Quartile,80,194.5,115.5,32.208333333333336,HFNL,142,4,0.028169014084507043,3,1,142,0,0,0,0
,,,,,,1003,17,0.01694915254237288,14,3,1003,0,0,0,0
Quartile,80,200.70833333333331,116,36.041666666666664,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,7,13,1003,0,0,0,0
Quartile,80,197.5,117.29166666666666,35.25,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,8,10,1003,0,0,0,0
Quartile,80,198.41666666666669,115.91666666666667,34.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,9,10,1003,0,0,0,0
Quartile,80,197.375,114.70833333333333,33.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,169,0.16849451645064806,70,99,1003,112,0.11166500498504486,56,56
Quartile,80,197.29166666666669,113.5,35.208333333333336,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,10,0.009970089730807577,5,5,1003,0,0,0,0
Quartile,80,198.70833333333331,116.41666666666666,35.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,6,10,1003,0,0,0,0
Quartile,80,199.5,118,32.458333333333336,HFNL,142,5,0.035211267605633804,2,3,142,0,0,0,0
,,,,,,1003,14,0.013958125623130608,5,9,1003,0,0,0,0
Quartile,80,197.54166666666666,114,33.541666666666664,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,9,14,1003,0,0,0,0
Quartile,80,194.5,117,33.75,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,17,5,1003,0,0,0,0
Quartile,80,199,115.79166666666666,34.125,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,18,5,1003,0,0,0,0
Quartile,80,198.41666666666669,117,35.208333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,8,12,1003,0,0,0,0
Quartile,80,200.66666666666666,115.79166666666666,35.458333333333336,HFNL,142,5,0.035211267605633804,2,3,142,0,0,0,0
,,,,,,1003,18,0.01794616151545364,6,12,1003,0,0,0,0
Quartile,80,199,115.79166666666666,34.08333333333333,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,12,11,1003,0,0,0,0
Quartile,80,195.625,116.20833333333334,32.5,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,12,0.011964107676969093,10,2,1003,0,0,0,0
Quartile,80,196.79166666666669,113.95833333333334,34.541666666666664,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,16,0.015952143569292122,9,7,1003,0,0,0,0
Quartile,80,198.70833333333334,117.29166666666666,34,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,8,12,1003,0,0,0,0
Quartile,80,199.20833333333331,113.375,34.5,HFNL,142,6,0.04225352112676056,2,4,142,0,0,0,0
,,,,,,1003,25,0.024925224327018942,10,15,1003,0,0,0,0
Quartile,80,193.91666666666669,115.58333333333333,34.75,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,15,4,1003,0,0,0,0
Quartile,80,198.91666666666669,113.20833333333333,34.75,HFNL,142,4,0.028169014084507043,1,3,142,0,0,0,0
,,,,,,1003,9,0.00897308075772682,3,6,1003,0,0,0,0
Quartile,80,199.29166666666669,114.25,34,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,20,0.019940179461615155,8,12,1003,0,0,0,0
Quartile,80,201.70833333333334,118.45833333333333,34,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1003,26,0.0259222333000997,6,20,1003,0,0,0,0
Quartile,80,199.08333333333331,115,34.25,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,1003,23,0.022931206380857428,7,16,1003,0,0,0,0
Quartile,80,197.41666666666669,115.79166666666666,36.25,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,19,0.018943170488534396,11,8,1003,0,0,0,0
Quartile,80,198.41666666666669,112.70833333333333,34.08333333333333,HFNL,142,2,0.014084507042253521,2,0,142,0,0,0,0
,,,,,,1003,24,0.023928215353938187,11,13,1003,0,0,0,0
Quartile,80,197.91666666666669,114.20833333333334,35.541666666666664,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,1003,22,0.02193419740777667,11,11,1003,0,0,0,0
Quartile,80,203.5,118.79166666666666,35.208333333333336,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,1003,24,0.023928215353938187,5,19,1003,0,0,0,0
Quartile,80,197.20833333333331,117.5,35,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
