Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,75,153.91666666666666,101.29166666666666,47.25,HNFL,142,12,0.08450704225352113,6,6,142,12,0.08450704225352113,6,6
,,,,,,1003,82,0.08175473579262213,35,47,1003,82,0.08175473579262213,47,35
Quartile,75,151.79166666666669,100.70833333333334,47.708333333333336,HNFL,142,18,0.1267605633802817,9,9,142,18,0.1267605633802817,9,9
,,,,,,1003,90,0.0897308075772682,53,37,1003,90,0.0897308075772682,37,53
Quartile,75,152.5,99,46.75,HNFL,142,11,0.07746478873239436,7,4,142,11,0.07746478873239436,4,7
,,,,,,1003,91,0.09072781655034895,55,36,1003,92,0.09172482552342971,36,56
Quartile,75,154.29166666666666,100.41666666666667,47.208333333333336,HNFL,142,13,0.09154929577464789,5,8,142,13,0.09154929577464789,8,5
,,,,,,1003,80,0.07976071784646062,40,40,1003,80,0.07976071784646062,40,40
Quartile,75,153.29166666666666,101.41666666666666,48.08333333333333,HNFL,142,11,0.07746478873239436,5,6,142,11,0.07746478873239436,6,5
,,,,,,1003,89,0.08873379860418744,37,52,1003,89,0.08873379860418744,52,37
Quartile,75,154.5,100.79166666666666,47.5,HNFL,142,12,0.08450704225352113,5,7,142,12,0.08450704225352113,7,5
,,,,,,1003,79,0.07876370887337986,39,40,1003,79,0.07876370887337986,40,39
Quartile,75,153.79166666666669,100.20833333333334,46.5,HNFL,142,11,0.07746478873239436,5,6,142,11,0.07746478873239436,6,5
,,,,,,1003,83,0.08275174476570289,38,45,1003,83,0.08275174476570289,45,38
Quartile,75,151.5,102.125,47.625,HNFL,142,13,0.09154929577464789,4,9,142,13,0.09154929577464789,9,4
,,,,,,1003,94,0.09371884346959122,37,57,1003,95,0.09471585244267199,57,38
Quartile,75,149.41666666666669,99.41666666666667,47.91666666666667,HNFL,142,13,0.09154929577464789,6,7,142,13,0.09154929577464789,7,6
,,,,,,1003,93,0.09272183449651047,63,30,1003,93,0.09272183449651047,30,63
Quartile,75,151.70833333333331,100,48,HNFL,142,11,0.07746478873239436,6,5,142,11,0.07746478873239436,5,6
,,,,,,1003,102,0.1016949152542373,58,44,1003,102,0.1016949152542373,44,58
Quartile,75,149.20833333333331,100,45.25,HNFL,142,14,0.09859154929577464,7,7,142,14,0.09859154929577464,7,7
,,,,,,1003,94,0.09371884346959122,57,37,1003,95,0.09471585244267199,38,57
Quartile,75,154,102.5,47.208333333333336,HNFL,142,11,0.07746478873239436,5,6,142,11,0.07746478873239436,6,5
,,,,,,1003,86,0.08574277168494517,32,54,1003,86,0.08574277168494517,54,32
Quartile,75,154.29166666666666,100.70833333333334,48.541666666666664,HNFL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
,,,,,,1003,99,0.09870388833499502,53,46,1003,99,0.09870388833499502,46,53
Quartile,75,154,100.58333333333334,46.208333333333336,HNFL,142,15,0.1056338028169014,8,7,142,15,0.1056338028169014,7,8
,,,,,,1003,100,0.09970089730807577,66,34,1003,100,0.09970089730807577,34,66
Quartile,75,152.79166666666666,102.66666666666666,46.5,HNFL,142,9,0.06338028169014084,5,4,142,9,0.06338028169014084,4,5
,,,,,,1003,91,0.09072781655034895,46,45,1003,91,0.09072781655034895,45,46
Quartile,75,153.875,102.58333333333333,45.91666666666667,HNFL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
