Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,73,127,81.83333333333334,35.541666666666664,HFNL,142,3,0.02112676056338028,2,1,142,2,0.014084507042253521,0,2
,,,,,,1003,29,0.028913260219341975,9,20,1003,27,0.026919242273180457,19,8
Quartile,73,131.58333333333331,81.5,36.75,HFNL,142,5,0.035211267605633804,1,4,142,5,0.035211267605633804,4,1
,,,,,,1003,25,0.024925224327018942,6,19,1003,24,0.023928215353938187,18,6
Quartile,73,131.91666666666669,83.79166666666666,34,HFNL,142,3,0.02112676056338028,2,1,142,2,0.014084507042253521,1,1
,,,,,,1003,28,0.027916251246261216,10,18,1003,25,0.024925224327018942,16,9
Quartile,73,134.29166666666666,84.5,37.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1003,31,0.03090727816550349,15,16,1003,27,0.026919242273180457,12,15
Quartile,73,131.5,86.08333333333334,36.041666666666664,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1003,17,0.01694915254237288,13,4,1003,16,0.015952143569292122,3,13
Quartile,73,132.5,82.29166666666666,36.041666666666664,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1003,20,0.019940179461615155,11,9,1003,20,0.019940179461615155,9,11
Quartile,73,130.20833333333334,85.5,36.041666666666664,HFNL,142,5,0.035211267605633804,3,2,142,4,0.028169014084507043,1,3
,,,,,,1003,33,0.03290129611166501,22,11,1003,28,0.027916251246261216,8,20
Quartile,73,128.91666666666666,83.58333333333333,34.958333333333336,HFNL,142,3,0.02112676056338028,1,2,142,3,0.02112676056338028,2,1
,,,,,,1003,24,0.023928215353938187,11,13,1003,20,0.019940179461615155,12,8
Quartile,73,133.29166666666666,85,35.75,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1003,26,0.0259222333000997,14,12,1003,24,0.023928215353938187,11,13
Quartile,73,134,85.375,36.833333333333336,HFNL,142,3,0.02112676056338028,1,2,142,3,0.02112676056338028,2,1
,,,,,,1003,34,0.03389830508474576,22,12,1003,30,0.02991026919242273,10,20
Quartile,73,134,86.5,35.25,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1003,24,0.023928215353938187,15,9,1003,23,0.022931206380857428,8,15
Quartile,73,134.58333333333331,87.29166666666666,36.333333333333336,HFNL,142,3,0.02112676056338028,1,2,142,3,0.02112676056338028,2,1
,,,,,,1003,33,0.03290129611166501,23,10,1003,30,0.02991026919242273,7,23
Quartile,73,132.5,86.29166666666666,36,HFNL,142,4,0.028169014084507043,2,2,142,3,0.02112676056338028,1,2
,,,,,,1003,31,0.03090727816550349,19,12,1003,30,0.02991026919242273,11,19
Quartile,73,130.79166666666666,82.79166666666666,37.5,HFNL,142,3,0.02112676056338028,3,0,142,3,0.02112676056338028,0,3
,,,,,,1003,21,0.020937188434695914,5,16,1003,21,0.020937188434695914,16,5
Quartile,73,129.70833333333331,85.79166666666666,37.25,HFNL,142,5,0.035211267605633804,2,3,142,3,0.02112676056338028,1,2
,,,,,,1003,23,0.022931206380857428,16,7,1003,20,0.019940179461615155,5,15
Quartile,73,132.91666666666669,86.5,35.958333333333336,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1003,28,0.027916251246261216,18,10,1003,28,0.027916251246261216,10,18
Quartile,73,125.70833333333334,83.5,35.541666666666664,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1003,34,0.03389830508474576,12,22,1003,28,0.027916251246261216,21,7
Quartile,73,131.29166666666666,84.5,34.041666666666664,HFNL,142,2,0.014084507042253521,2,0,142,1,0.007042253521126761,0,1
,,,,,,1003,34,0.03389830508474576,15,19,1003,31,0.03090727816550349,17,14
Quartile,73,132.5,83.08333333333333,37.708333333333336,HFNL,142,5,0.035211267605633804,3,2,142,5,0.035211267605633804,2,3
,,,,,,1003,32,0.031904287138584245,14,18,1003,31,0.03090727816550349,17,14
Quartile,73,128.70833333333331,85.20833333333334,37.041666666666664,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1003,18,0.01794616151545364,12,6,1003,18,0.01794616151545364,6,12
Quartile,73,131.5,84.29166666666666,37.708333333333336,HFNL,142,7,0.04929577464788732,2,5,142,6,0.04225352112676056,4,2
,,,,,,1003,31,0.03090727816550349,13,18,1003,30,0.02991026919242273,17,13
Quartile,73,130.58333333333331,80,37.708333333333336,HFNL,142,8,0.056338028169014086,3,5,142,7,0.04929577464788732,5,2
,,,,,,1003,27,0.026919242273180457,6,21,1003,26,0.0259222333000997,21,5
Quartile,73,130.125,85.70833333333334,36,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1003,25,0.024925224327018942,19,6,1003,23,0.022931206380857428,5,18
