Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,65,229.20833333333331,153.04166666666669,76,HFNL,142,14,0.09859154929577464,6,8,142,14,0.09859154929577464,8,6
,,,,,,1004,77,0.07669322709163347,41,36,1004,76,0.07569721115537849,35,41
Quartile,65,225.5,151.875,75.95833333333334,HFNL,142,6,0.04225352112676056,3,3,142,6,0.04225352112676056,3,3
,,,,,,1004,69,0.06872509960159362,28,41,1004,67,0.06673306772908366,40,27
Quartile,65,226.29166666666669,155.04166666666669,73.91666666666667,HFNL,142,8,0.056338028169014086,4,4,142,7,0.04929577464788732,3,4
,,,,,,1004,69,0.06872509960159362,40,29,1004,67,0.06673306772908366,28,39
Quartile,65,227.79166666666669,150.625,74,HFNL,142,10,0.07042253521126761,6,4,142,10,0.07042253521126761,4,6
,,,,,,1004,74,0.07370517928286853,35,39,1004,73,0.07270916334661355,38,35
Quartile,65,230.20833333333331,152.20833333333331,74.54166666666667,HFNL,142,8,0.056338028169014086,4,4,142,8,0.056338028169014086,4,4
,,,,,,1004,73,0.07270916334661355,37,36,1004,70,0.0697211155378486,33,37
Quartile,65,228,153.41666666666669,81.08333333333334,HFNL,142,9,0.06338028169014084,6,3,142,9,0.06338028169014084,3,6
,,,,,,1004,63,0.06274900398406374,33,30,1004,62,0.061752988047808766,29,33
Quartile,65,227.95833333333337,155.83333333333331,79.79166666666667,HFNL,142,8,0.056338028169014086,5,3,142,8,0.056338028169014086,3,5
,,,,,,1004,75,0.07470119521912351,44,31,1004,71,0.07071713147410359,28,43
Quartile,65,227.79166666666669,149.20833333333331,78.29166666666667,HFNL,142,8,0.056338028169014086,5,3,142,8,0.056338028169014086,3,5
,,,,,,1004,76,0.07569721115537849,27,49,1004,72,0.07171314741035857,45,27
Quartile,65,225.54166666666669,156.41666666666669,75.125,HFNL,142,10,0.07042253521126761,7,3,142,10,0.07042253521126761,3,7
,,,,,,1004,74,0.07370517928286853,50,24,1004,72,0.07171314741035857,23,49
Quartile,65,230.41666666666669,153.875,76,HFNL,142,6,0.04225352112676056,1,5,142,6,0.04225352112676056,5,1
,,,,,,1004,68,0.06772908366533864,39,29,1004,67,0.06673306772908366,28,39
Quartile,65,228.25,147.70833333333334,76.20833333333334,HFNL,142,10,0.07042253521126761,3,7,142,10,0.07042253521126761,7,3
,,,,,,1004,69,0.06872509960159362,22,47,1004,65,0.0647410358565737,44,21
Quartile,65,225.29166666666669,156.08333333333331,76.25,HFNL,142,10,0.07042253521126761,8,2,142,10,0.07042253521126761,2,8
,,,,,,1004,61,0.060756972111553786,47,14,1004,59,0.05876494023904383,13,46
Quartile,65,220.41666666666669,146.91666666666669,76.16666666666666,HFNL,142,13,0.09154929577464789,6,7,142,13,0.09154929577464789,7,6
,,,,,,1004,75,0.07470119521912351,24,51,1004,73,0.07270916334661355,51,22
