Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,64,145.70833333333331,90,34.708333333333336,HNFL,142,0,0,0,0,142,55,0.3873239436619718,26,29
,,,,,,1003,0,0,0,0,1003,408,0.4067796610169492,203,205
Quartile,64,150.08333333333331,91.79166666666667,31.708333333333336,HNFL,142,1,0.007042253521126761,0,1,142,61,0.4295774647887324,30,31
,,,,,,1003,0,0,0,0,1003,407,0.4057826520438684,192,215
Quartile,64,144.20833333333334,91.20833333333333,32.5,HNFL,142,0,0,0,0,142,58,0.4084507042253521,29,29
,,,,,,1003,2,0.0019940179461615153,0,2,1003,415,0.4137587238285145,205,210
Quartile,64,146,86.5,33.5,HNFL,142,0,0,0,0,142,59,0.4154929577464789,28,31
,,,,,,1003,1,0.0009970089730807576,1,0,1003,413,0.4117647058823529,206,207
Quartile,64,145.125,90,32.208333333333336,HNFL,142,0,0,0,0,142,55,0.3873239436619718,27,28
,,,,,,1003,2,0.0019940179461615153,0,2,1003,417,0.41575274177467597,211,206
Quartile,64,145.91666666666669,90.83333333333334,34.41666666666667,HNFL,142,0,0,0,0,142,61,0.4295774647887324,30,31
,,,,,,1003,0,0,0,0,1003,417,0.41575274177467597,207,210
Quartile,64,143.70833333333331,88.5,32.75,HNFL,142,0,0,0,0,142,57,0.4014084507042254,29,28
,,,,,,1003,0,0,0,0,1003,416,0.4147557328015952,209,207
Quartile,64,144.5,87.41666666666667,33.25,HNFL,142,0,0,0,0,142,62,0.43661971830985913,32,30
,,,,,,1003,1,0.0009970089730807576,1,0,1003,417,0.41575274177467597,204,213
Quartile,64,143.79166666666669,91,33.41666666666667,HNFL,142,0,0,0,0,142,59,0.4154929577464789,29,30
,,,,,,1003,0,0,0,0,1003,406,0.4047856430707876,207,199
Quartile,64,147.79166666666666,91.29166666666666,32.541666666666664,HNFL,142,0,0,0,0,142,61,0.4295774647887324,29,32
,,,,,,1003,1,0.0009970089730807576,0,1,1003,425,0.423728813559322,210,215
Quartile,64,145.41666666666669,92.20833333333334,33.041666666666664,HNFL,142,2,0.014084507042253521,0,2,142,58,0.4084507042253521,29,29
,,,,,,1003,0,0,0,0,1003,408,0.4067796610169492,200,208
Quartile,64,144,90.04166666666667,32.91666666666667,HNFL,142,0,0,0,0,142,58,0.4084507042253521,30,28
,,,,,,1003,0,0,0,0,1003,409,0.4077766699900299,212,197
Quartile,64,146.08333333333331,89.08333333333333,31.958333333333332,HNFL,142,1,0.007042253521126761,0,1,142,60,0.4225352112676056,31,29
,,,,,,1003,1,0.0009970089730807576,0,1,1003,414,0.4127617148554337,207,207
Quartile,64,143,91.79166666666667,34.708333333333336,HNFL,142,0,0,0,0,142,58,0.4084507042253521,27,31
,,,,,,1003,1,0.0009970089730807576,0,1,1003,399,0.39780658025922233,203,196
Quartile,64,146.08333333333331,87,31.208333333333336,HNFL,142,0,0,0,0,142,62,0.43661971830985913,31,31
,,,,,,1003,0,0,0,0,1003,419,0.41774675972083747,202,217
Quartile,64,148,92.91666666666667,36.333333333333336,HNFL,142,0,0,0,0,142,59,0.4154929577464789,28,31
,,,,,,1003,1,0.0009970089730807576,0,1,1003,400,0.3988035892323031,187,213
Quartile,64,144.70833333333331,92.04166666666667,32.5,HNFL,142,0,0,0,0,142,55,0.3873239436619718,27,28
,,,,,,1003,0,0,0,0,1003,411,0.4097706879361914,204,207
Quartile,64,146.625,88.79166666666667,34.25,HNFL,142,0,0,0,0,142,58,0.4084507042253521,29,29
,,,,,,1003,0,0,0,0,1003,415,0.4137587238285145,202,213
Quartile,64,149.45833333333334,91.58333333333334,32.791666666666664,HNFL,142,0,0,0,0,142,61,0.4295774647887324,31,30
,,,,,,1003,0,0,0,0,1003,407,0.4057826520438684,193,214
Quartile,64,150.08333333333331,89.29166666666667,34.08333333333333,HNFL,142,0,0,0,0,142,59,0.4154929577464789,27,32
