Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,65,182.5,127.375,76.375,HNFL,142,29,0.20422535211267606,13,16,142,44,0.30985915492957744,23,21
,,,,,,1004,224,0.22310756972111553,118,106,1004,321,0.3197211155378486,154,167
Quartile,65,186.08333333333331,125.91666666666667,75.41666666666667,HNFL,142,34,0.23943661971830985,19,15,142,44,0.30985915492957744,19,25
,,,,,,1004,212,0.21115537848605578,120,92,1004,321,0.3197211155378486,148,173
Quartile,65,177.58333333333331,125.41666666666666,77.58333333333334,HNFL,142,32,0.22535211267605634,17,15,142,42,0.29577464788732394,19,23
,,,,,,1004,202,0.20119521912350596,115,87,1004,296,0.2948207171314741,148,148
Quartile,65,181.66666666666666,132.79166666666669,75.375,HNFL,142,29,0.20422535211267606,14,15,142,46,0.323943661971831,24,22
,,,,,,1004,216,0.2151394422310757,96,120,1004,319,0.31772908366533864,177,142
Quartile,65,181.95833333333331,131.375,75.16666666666666,HNFL,142,31,0.21830985915492956,15,16,142,47,0.33098591549295775,23,24
,,,,,,1004,212,0.21115537848605578,95,117,1004,325,0.3237051792828685,179,146
Quartile,65,182.125,128.41666666666669,78.5,HNFL,142,31,0.21830985915492956,14,17,142,42,0.29577464788732394,24,18
,,,,,,1004,221,0.2201195219123506,114,107,1004,323,0.32171314741035856,149,174
Quartile,65,182.375,129.5,78,HNFL,142,32,0.22535211267605634,15,17,142,47,0.33098591549295775,26,21
,,,,,,1004,214,0.21314741035856574,103,111,1004,316,0.3147410358565737,159,157
Quartile,65,180.41666666666669,131.41666666666666,79,HNFL,142,33,0.2323943661971831,17,16,142,53,0.3732394366197183,26,27
,,,,,,1004,202,0.20119521912350596,92,110,1004,323,0.32171314741035856,166,157
Quartile,65,180.5,130.5,77.875,HNFL,142,30,0.2112676056338028,14,16,142,43,0.3028169014084507,23,20
,,,,,,1004,220,0.21912350597609562,105,115,1004,328,0.32669322709163345,175,153
Quartile,65,182.625,129.58333333333331,73.25,HNFL,142,34,0.23943661971830985,16,18,142,45,0.31690140845070425,26,19
,,,,,,1004,221,0.2201195219123506,105,116,1004,319,0.31772908366533864,173,146
Quartile,65,183.79166666666669,129.79166666666666,74.91666666666667,HNFL,142,29,0.20422535211267606,15,14,142,46,0.323943661971831,23,23
