Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,64,195.20833333333331,143,85.83333333333333,HNFL,142,33,0.2323943661971831,16,17,142,34,0.23943661971830985,17,17
,,,,,,1004,256,0.2549800796812749,126,130,1004,267,0.26593625498007967,137,130
Quartile,64,200.08333333333331,145.29166666666669,85.5,HNFL,142,36,0.2535211267605634,17,19,142,36,0.2535211267605634,19,17
,,,,,,1004,256,0.2549800796812749,120,136,1004,266,0.2649402390438247,143,123
Quartile,64,198.5,140.08333333333334,84.45833333333334,HNFL,142,37,0.2605633802816901,19,18,142,37,0.2605633802816901,18,19
,,,,,,1004,257,0.2559760956175299,131,126,1004,265,0.2639442231075697,130,135
Quartile,64,199.625,143.08333333333334,86.83333333333334,HNFL,142,39,0.2746478873239437,19,20,142,40,0.28169014084507044,21,19
,,,,,,1004,256,0.2549800796812749,127,129,1004,266,0.2649402390438247,133,133
Quartile,64,199.58333333333331,142.5,86.375,HNFL,142,34,0.23943661971830985,16,18,142,34,0.23943661971830985,18,16
,,,,,,1004,252,0.250996015936255,127,125,1004,263,0.26195219123505975,131,132
Quartile,64,194.70833333333331,141.375,84.875,HNFL,142,35,0.24647887323943662,18,17,142,35,0.24647887323943662,17,18
,,,,,,1004,252,0.250996015936255,126,126,1004,261,0.2599601593625498,133,128
Quartile,64,196.33333333333334,143.08333333333331,84.45833333333334,HNFL,142,36,0.2535211267605634,19,17,142,36,0.2535211267605634,17,19
,,,,,,1004,241,0.2400398406374502,115,126,1004,252,0.250996015936255,134,118
Quartile,64,200.79166666666666,144.08333333333331,86.08333333333333,HNFL,142,39,0.2746478873239437,19,20,142,39,0.2746478873239437,20,19
,,,,,,1004,255,0.2539840637450199,124,131,1004,261,0.2599601593625498,134,127
Quartile,64,201.5,144.08333333333331,86.875,HNFL,142,36,0.2535211267605634,18,18,142,37,0.2605633802816901,18,19
,,,,,,1004,243,0.24203187250996017,112,131,1004,257,0.2559760956175299,134,123
Quartile,64,199.125,144,86.54166666666666,HNFL,142,39,0.2746478873239437,20,19,142,41,0.2887323943661972,20,21
,,,,,,1004,245,0.24402390438247012,119,126,1004,251,0.25,129,122
Quartile,64,201.41666666666669,145.45833333333331,87.125,HNFL,142,39,0.2746478873239437,18,21,142,42,0.29577464788732394,21,21
,,,,,,1004,250,0.24900398406374502,115,135,1004,258,0.25697211155378485,136,122
Quartile,64,202.58333333333331,141.20833333333334,84.33333333333334,HNFL,142,37,0.2605633802816901,20,17,142,38,0.2676056338028169,17,21
,,,,,,1004,253,0.25199203187250996,133,120,1004,258,0.25697211155378485,119,139
Quartile,64,198.33333333333334,141.79166666666669,86.375,HNFL,142,32,0.22535211267605634,15,17,142,32,0.22535211267605634,17,15
,,,,,,1004,246,0.2450199203187251,124,122,1004,248,0.24701195219123506,124,124
Quartile,64,202.83333333333334,141.70833333333334,86.125,HNFL,142,39,0.2746478873239437,19,20,142,41,0.2887323943661972,21,20
,,,,,,1004,248,0.24701195219123506,122,126,1004,255,0.2539840637450199,128,127
Quartile,64,198.375,136.95833333333334,85.25,HNFL,142,33,0.2323943661971831,18,15,142,34,0.23943661971830985,15,19
,,,,,,1004,241,0.2400398406374502,129,112,1004,251,0.25,118,133
Quartile,64,203.25,135.91666666666669,86.25,HNFL,142,35,0.24647887323943662,19,16,142,35,0.24647887323943662,16,19
,,,,,,1004,238,0.23705179282868527,134,104,1004,253,0.25199203187250996,107,146
Quartile,64,201.70833333333334,144.29166666666666,85.5,HNFL,142,34,0.23943661971830985,16,18,142,34,0.23943661971830985,18,16
,,,,,,1004,251,0.25,118,133,1004,260,0.2589641434262948,136,124
Quartile,64,195.79166666666669,141.04166666666669,86.95833333333334,HNFL,142,35,0.24647887323943662,20,15,142,37,0.2605633802816901,16,21
,,,,,,1004,255,0.2539840637450199,127,128,1004,261,0.2599601593625498,130,131
Quartile,64,200.875,149.125,85.70833333333334,HNFL,142,37,0.2605633802816901,16,21,142,39,0.2746478873239437,21,18
,,,,,,1004,237,0.2360557768924303,101,136,1004,253,0.25199203187250996,142,111
Quartile,64,201.5,142.5,88.33333333333334,HNFL,142,38,0.2676056338028169,19,19,142,38,0.2676056338028169,19,19
,,,,,,1004,252,0.250996015936255,121,131,1004,263,0.26195219123505975,132,131
Quartile,64,196.79166666666669,138.875,86.125,HNFL,142,38,0.2676056338028169,20,18,142,40,0.28169014084507044,20,20
