Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,60,184.29166666666666,112.29166666666666,40.25,HNFL,142,0,0,0,0,142,30,0.2112676056338028,15,15
,,,,,,1003,0,0,0,0,1003,194,0.193419740777667,88,106
Quartile,60,178.29166666666666,111.5,40.95833333333333,HNFL,142,0,0,0,0,142,22,0.15492957746478872,12,10
,,,,,,1003,0,0,0,0,1003,183,0.18245264207377868,104,79
Quartile,60,185.41666666666669,109.70833333333334,42.75,HNFL,142,0,0,0,0,142,22,0.15492957746478872,10,12
,,,,,,1003,0,0,0,0,1003,204,0.2033898305084746,83,121
Quartile,60,176.79166666666669,112,40.125,HNFL,142,0,0,0,0,142,30,0.2112676056338028,18,12
,,,,,,1003,0,0,0,0,1003,181,0.18045862412761715,122,59
Quartile,60,182,111.79166666666666,41.45833333333333,HNFL,142,0,0,0,0,142,26,0.18309859154929578,13,13
,,,,,,1003,0,0,0,0,1003,202,0.20139581256231306,95,107
Quartile,60,182.875,110.875,42.5,HNFL,142,0,0,0,0,142,30,0.2112676056338028,16,14
,,,,,,1003,0,0,0,0,1003,196,0.19541375872382852,86,110
Quartile,60,182.91666666666669,110.79166666666666,39.916666666666664,HNFL,142,0,0,0,0,142,27,0.19014084507042253,15,12
,,,,,,1003,0,0,0,0,1003,205,0.20438683948155534,122,83
Quartile,60,177.08333333333331,110.91666666666666,41.541666666666664,HNFL,142,0,0,0,0,142,21,0.14788732394366197,10,11
,,,,,,1003,0,0,0,0,1003,184,0.18344965104685942,103,81
Quartile,60,183.375,111.20833333333333,41.95833333333333,HNFL,142,0,0,0,0,142,24,0.16901408450704225,13,11
,,,,,,1003,0,0,0,0,1003,188,0.18743768693918245,84,104
Quartile,60,183.70833333333331,111.29166666666666,44,HNFL,142,0,0,0,0,142,28,0.19718309859154928,12,16
,,,,,,1003,1,0.0009970089730807576,0,1,1003,204,0.2033898305084746,76,128
Quartile,60,182.08333333333331,113.20833333333334,44.25,HNFL,142,0,0,0,0,142,21,0.14788732394366197,11,10
,,,,,,1003,0,0,0,0,1003,207,0.20638085742771686,81,126
Quartile,60,183.875,107.875,42.708333333333336,HNFL,142,0,0,0,0,142,28,0.19718309859154928,14,14
,,,,,,1003,0,0,0,0,1003,184,0.18344965104685942,85,99
Quartile,60,184.08333333333331,111.79166666666666,41.29166666666667,HNFL,142,0,0,0,0,142,32,0.22535211267605634,16,16
,,,,,,1003,0,0,0,0,1003,187,0.1864406779661017,83,104
Quartile,60,181.79166666666666,113.41666666666667,40.95833333333333,HNFL,142,0,0,0,0,142,24,0.16901408450704225,14,10
,,,,,,1003,0,0,0,0,1003,213,0.2123629112662014,104,109
Quartile,60,183,110.91666666666666,43,HNFL,142,0,0,0,0,142,31,0.21830985915492956,16,15
,,,,,,1003,0,0,0,0,1003,212,0.21136590229312063,97,115
Quartile,60,180,113.20833333333333,42.29166666666667,HNFL,142,0,0,0,0,142,25,0.176056338028169,13,12
,,,,,,1003,0,0,0,0,1003,191,0.19042871385842472,97,94
Quartile,60,184.29166666666666,111.70833333333334,42.95833333333333,HNFL,142,0,0,0,0,142,28,0.19718309859154928,11,17
,,,,,,1003,0,0,0,0,1003,190,0.18943170488534397,78,112
Quartile,60,185.29166666666669,108.70833333333333,44.333333333333336,HNFL,142,0,0,0,0,142,24,0.16901408450704225,10,14
,,,,,,1003,0,0,0,0,1003,208,0.2073778664007976,73,135
Quartile,60,181.5,112,40.41666666666667,HNFL,142,0,0,0,0,142,26,0.18309859154929578,13,13
,,,,,,1003,0,0,0,0,1003,187,0.1864406779661017,101,86
Quartile,60,180.70833333333334,110,40.45833333333333,HNFL,142,0,0,0,0,142,23,0.1619718309859155,11,12
,,,,,,1003,0,0,0,0,1003,190,0.18943170488534397,108,82
Quartile,60,179.70833333333331,111.41666666666667,42.208333333333336,HNFL,142,0,0,0,0,142,24,0.16901408450704225,11,13
,,,,,,1003,0,0,0,0,1003,190,0.18943170488534397,94,96
Quartile,60,181.08333333333331,109.54166666666667,43.541666666666664,HNFL,142,0,0,0,0,142,20,0.14084507042253522,9,11
,,,,,,1003,0,0,0,0,1003,201,0.20039880358923232,79,122
Quartile,60,183.66666666666666,109.875,41,HNFL,142,0,0,0,0,142,26,0.18309859154929578,15,11
,,,,,,1003,0,0,0,0,1003,188,0.18743768693918245,96,92
Quartile,60,182.125,110.58333333333334,40.5,HNFL,142,0,0,0,0,142,22,0.15492957746478872,8,14
,,,,,,1003,0,0,0,0,1003,177,0.17647058823529413,96,81
Quartile,60,179.58333333333331,110.33333333333334,42.08333333333333,HNFL,142,0,0,0,0,142,30,0.2112676056338028,14,16
,,,,,,1003,0,0,0,0,1003,200,0.19940179461615154,99,101
