Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,73,246.91666666666666,156.70833333333331,73,HNFL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,3,0.00298804780876494,3,0,1004,9,0.008964143426294821,6,3
Quartile,73,251.79166666666669,158.91666666666669,69.79166666666667,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,3,0.00298804780876494,3,0,1004,5,0.0049800796812749,1,4
Quartile,73,253.29166666666669,159.91666666666669,73.25,HNFL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,2,0.00199203187250996,1,1,1004,4,0.00398406374501992,1,3
Quartile,73,251.95833333333331,160.20833333333331,74.20833333333334,HNFL,142,0,0,0,0,142,1,0.007042253521126761,1,0
,,,,,,1004,3,0.00298804780876494,3,0,1004,5,0.0049800796812749,0,5
Quartile,73,249.75,158.04166666666669,72.25,HNFL,142,0,0,0,0,142,2,0.014084507042253521,0,2
,,,,,,1004,4,0.00398406374501992,3,1,1004,10,0.0099601593625498,1,9
Quartile,73,250,155.75,70.45833333333334,HNFL,142,0,0,0,0,142,1,0.007042253521126761,1,0
,,,,,,1004,3,0.00298804780876494,3,0,1004,4,0.00398406374501992,1,3
Quartile,73,251.20833333333331,160,71.125,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,8,0.00796812749003984,2,6,1004,11,0.010956175298804782,8,3
Quartile,73,247.125,162.5,71.04166666666667,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,1,0.00099601593625498,1,0,1004,4,0.00398406374501992,3,1
Quartile,73,248.20833333333331,162,71.41666666666667,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,5,0.0049800796812749,4,1,1004,7,0.0069721115537848604,2,5
Quartile,73,249.29166666666666,157.20833333333334,71.75,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,2,0.00199203187250996,2,0,1004,5,0.0049800796812749,1,4
Quartile,73,250.16666666666669,156,70.54166666666667,HNFL,142,0,0,0,0,142,1,0.007042253521126761,1,0
,,,,,,1004,3,0.00298804780876494,1,2,1004,8,0.00796812749003984,3,5
Quartile,73,247,156.5,69.04166666666667,HNFL,142,0,0,0,0,142,1,0.007042253521126761,0,1
,,,,,,1004,4,0.00398406374501992,3,1,1004,4,0.00398406374501992,1,3
Quartile,73,249.91666666666669,154.79166666666669,74.33333333333334,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,7,0.0069721115537848604,5,2,1004,11,0.010956175298804782,4,7
Quartile,73,246.83333333333331,162.20833333333331,73.04166666666667,HNFL,142,1,0.007042253521126761,0,1,142,2,0.014084507042253521,2,0
,,,,,,1004,3,0.00298804780876494,0,3,1004,8,0.00796812749003984,7,1
Quartile,73,248.70833333333334,162.91666666666669,72.125,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,7,0.0069721115537848604,4,3,1004,10,0.0099601593625498,4,6
Quartile,73,252.04166666666666,157.16666666666666,72.25,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,6,0.00597609561752988,5,1,1004,12,0.01195219123505976,1,11
Quartile,73,247.79166666666669,163,70.20833333333334,HNFL,142,1,0.007042253521126761,0,1,142,2,0.014084507042253521,1,1
,,,,,,1004,0,0,0,0,1004,1,0.00099601593625498,0,1
Quartile,73,255.20833333333331,160.58333333333331,74.45833333333334,HNFL,142,1,0.007042253521126761,1,0,142,4,0.028169014084507043,0,4
,,,,,,1004,5,0.0049800796812749,3,2,1004,12,0.01195219123505976,3,9
Quartile,73,248.66666666666669,153.25,73.25,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,7,0.0069721115537848604,4,3,1004,8,0.00796812749003984,3,5
Quartile,73,253.58333333333334,162,72.125,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,2,0.00199203187250996,1,1,1004,2,0.00199203187250996,1,1
Quartile,73,251.5,162.16666666666666,72.125,HNFL,142,0,0,0,0,142,2,0.014084507042253521,0,2
,,,,,,1004,5,0.0049800796812749,1,4,1004,7,0.0069721115537848604,4,3
Quartile,73,243.33333333333331,156.79166666666666,69.91666666666667,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,8,0.00796812749003984,6,2,1004,15,0.014940239043824702,9,6
Quartile,73,253.20833333333331,157.70833333333331,70.70833333333333,HNFL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,0,0,0,0,1004,1,0.00099601593625498,1,0
Quartile,73,251.375,158.25,72,HNFL,142,1,0.007042253521126761,1,0,142,2,0.014084507042253521,0,2
,,,,,,1004,6,0.00597609561752988,4,2,1004,8,0.00796812749003984,2,6
Quartile,73,251.70833333333334,159.70833333333331,69.125,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,1,0.00099601593625498,1,0,1004,5,0.0049800796812749,1,4
Quartile,73,253.91666666666666,161.5,70.5,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,4,0.00398406374501992,1,3,1004,9,0.008964143426294821,4,5
Quartile,73,253.20833333333334,162.70833333333334,71.66666666666666,HNFL,142,1,0.007042253521126761,0,1,142,3,0.02112676056338028,1,2
,,,,,,1004,1,0.00099601593625498,0,1,1004,5,0.0049800796812749,3,2
Quartile,73,252.75,162.70833333333331,71.54166666666667,HNFL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,4,0.00398406374501992,0,4,1004,6,0.00597609561752988,4,2
Quartile,73,248.29166666666669,161.79166666666669,74.04166666666666,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,6,0.00597609561752988,3,3,1004,9,0.008964143426294821,4,5
Quartile,73,245.29166666666669,158.5,70.79166666666667,HNFL,142,0,0,0,0,142,1,0.007042253521126761,0,1
,,,,,,1004,4,0.00398406374501992,3,1,1004,7,0.0069721115537848604,4,3
Quartile,73,253.5,162,67.875,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,2,0.00199203187250996,2,0,1004,4,0.00398406374501992,0,4
Quartile,73,250.5,160.79166666666666,73,HNFL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,2,0.00199203187250996,1,1,1004,7,0.0069721115537848604,3,4
Quartile,73,252.70833333333331,162.83333333333334,70.79166666666667,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,0,0,0,0,1004,2,0.00199203187250996,0,2
Quartile,73,253.5,167.5,71.54166666666667,HNFL,142,0,0,0,0,142,1,0.007042253521126761,0,1
,,,,,,1004,3,0.00298804780876494,0,3,1004,7,0.0069721115537848604,3,4
Quartile,73,249.70833333333334,163.20833333333334,69.95833333333334,HNFL,142,1,0.007042253521126761,1,0,142,4,0.028169014084507043,1,3
,,,,,,1004,4,0.00398406374501992,1,3,1004,7,0.0069721115537848604,3,4
Quartile,73,247.08333333333331,163.45833333333331,72.83333333333333,HNFL,142,1,0.007042253521126761,0,1,142,2,0.014084507042253521,1,1
,,,,,,1004,1,0.00099601593625498,0,1,1004,8,0.00796812749003984,6,2
Quartile,73,246.41666666666669,157.41666666666666,70.83333333333334,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,5,0.0049800796812749,3,2,1004,10,0.0099601593625498,5,5
Quartile,73,249.20833333333334,163.70833333333331,72.5,HNFL,142,2,0.014084507042253521,0,2,142,2,0.014084507042253521,2,0
,,,,,,1004,4,0.00398406374501992,0,4,1004,6,0.00597609561752988,4,2
Quartile,73,247.125,160.29166666666669,71.5,HNFL,142,2,0.014084507042253521,1,1,142,3,0.02112676056338028,2,1
,,,,,,1004,4,0.00398406374501992,1,3,1004,6,0.00597609561752988,4,2
Quartile,73,252.41666666666666,158.79166666666669,69.33333333333334,HNFL,142,0,0,0,0,142,1,0.007042253521126761,0,1
,,,,,,1004,3,0.00298804780876494,1,2,1004,3,0.00298804780876494,2,1
Quartile,73,252.20833333333331,165.08333333333331,70.79166666666667,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,3,0.00298804780876494,0,3,1004,6,0.00597609561752988,3,3
Quartile,73,255,161.04166666666669,72.95833333333334,HNFL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,4,0.00398406374501992,2,2,1004,5,0.0049800796812749,3,2
Quartile,73,249,166,69.29166666666667,HNFL,142,0,0,0,0,142,1,0.007042253521126761,0,1
,,,,,,1004,4,0.00398406374501992,0,4,1004,6,0.00597609561752988,5,1
Quartile,73,249.66666666666666,161.58333333333331,73.70833333333334,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,2,0.00199203187250996,1,1,1004,3,0.00298804780876494,2,1
Quartile,73,249.20833333333331,161.08333333333331,72.70833333333334,HNFL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,3,0.00298804780876494,2,1,1004,5,0.0049800796812749,2,3
Quartile,73,250.79166666666669,159.08333333333331,71.54166666666666,HNFL,142,2,0.014084507042253521,0,2,142,2,0.014084507042253521,2,0
,,,,,,1004,2,0.00199203187250996,1,1,1004,5,0.0049800796812749,1,4
