Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,68,210.29166666666666,134.875,66.04166666666666,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1004,22,0.021912350597609563,8,14,1004,22,0.021912350597609563,14,8
Quartile,68,202,136.79166666666666,65.29166666666667,HFNL,142,2,0.014084507042253521,2,0,142,2,0.014084507042253521,0,2
,,,,,,1004,25,0.0249003984063745,12,13,1004,24,0.02390438247011952,13,11
Quartile,68,210.08333333333331,137,63.16666666666667,HFNL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,24,0.02390438247011952,13,11,1004,20,0.0199203187250996,9,11
Quartile,68,209,138.20833333333331,68.25,HFNL,142,4,0.028169014084507043,4,0,142,3,0.02112676056338028,0,3
,,,,,,1004,22,0.021912350597609563,11,11,1004,18,0.017928286852589643,8,10
Quartile,68,210.58333333333331,135.79166666666666,64.33333333333334,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,24,0.02390438247011952,8,16,1004,22,0.021912350597609563,14,8
Quartile,68,210.29166666666669,137.5,64.29166666666667,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1004,22,0.021912350597609563,13,9,1004,19,0.018924302788844622,6,13
Quartile,68,204.08333333333331,137.20833333333334,63.75,HFNL,142,4,0.028169014084507043,0,4,142,3,0.02112676056338028,3,0
,,,,,,1004,18,0.017928286852589643,12,6,1004,15,0.014940239043824702,4,11
Quartile,68,209,140.20833333333334,64.54166666666667,HFNL,142,6,0.04225352112676056,5,1,142,4,0.028169014084507043,0,4
,,,,,,1004,20,0.0199203187250996,14,6,1004,19,0.018924302788844622,6,13
Quartile,68,205.20833333333331,138.79166666666669,66.04166666666666,HFNL,142,5,0.035211267605633804,2,3,142,5,0.035211267605633804,3,2
,,,,,,1004,26,0.025896414342629483,17,9,1004,24,0.02390438247011952,8,16
Quartile,68,206.5,136.29166666666666,63.75,HFNL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,25,0.0249003984063745,12,13,1004,22,0.021912350597609563,11,11
Quartile,68,207.54166666666666,135.70833333333331,65.04166666666667,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,28,0.027888446215139442,11,17,1004,26,0.025896414342629483,16,10
Quartile,68,207,133.29166666666666,64.5,HFNL,142,2,0.014084507042253521,1,1,142,1,0.007042253521126761,1,0
,,,,,,1004,24,0.02390438247011952,6,18,1004,23,0.022908366533864542,17,6
Quartile,68,207.29166666666666,138,65.91666666666667,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,29,0.02888446215139442,18,11,1004,26,0.025896414342629483,10,16
Quartile,68,205,137.04166666666669,62.75,HFNL,142,3,0.02112676056338028,1,2,142,1,0.007042253521126761,1,0
,,,,,,1004,26,0.025896414342629483,13,13,1004,21,0.02091633466135458,10,11
Quartile,68,208.875,135.79166666666666,65.45833333333334,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
