Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,71,194.58333333333331,123.66666666666666,59,HFNL,142,11,0.07746478873239436,4,7,142,7,0.04929577464788732,5,2
,,,,,,1004,38,0.037848605577689244,11,27,1004,29,0.02888446215139442,22,7
Quartile,71,195,129.79166666666666,58,HFNL,142,10,0.07042253521126761,4,6,142,6,0.04225352112676056,4,2
,,,,,,1004,41,0.04083665338645418,23,18,1004,28,0.027888446215139442,11,17
Quartile,71,191.5,130.5,58.875,HFNL,142,7,0.04929577464788732,6,1,142,6,0.04225352112676056,1,5
,,,,,,1004,45,0.044820717131474105,29,16,1004,31,0.030876494023904383,10,21
Quartile,71,193.54166666666669,123.70833333333333,62.5,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,38,0.037848605577689244,13,25,1004,27,0.026892430278884463,18,9
Quartile,71,196.41666666666669,124.625,60.708333333333336,HFNL,142,4,0.028169014084507043,1,3,142,3,0.02112676056338028,2,1
,,,,,,1004,47,0.046812749003984064,12,35,1004,33,0.03286852589641434,25,8
Quartile,71,190,128.375,57.666666666666664,HFNL,142,7,0.04929577464788732,1,6,142,3,0.02112676056338028,3,0
,,,,,,1004,38,0.037848605577689244,21,17,1004,22,0.021912350597609563,11,11
Quartile,71,188.79166666666666,123,62.958333333333336,HFNL,142,7,0.04929577464788732,4,3,142,4,0.028169014084507043,3,1
,,,,,,1004,41,0.04083665338645418,9,32,1004,30,0.029880478087649404,27,3
Quartile,71,194.66666666666666,123.58333333333333,55.708333333333336,HFNL,142,7,0.04929577464788732,5,2,142,4,0.028169014084507043,2,2
,,,,,,1004,32,0.03187250996015936,8,24,1004,24,0.02390438247011952,16,8
Quartile,71,193.58333333333331,128,58.54166666666667,HFNL,142,2,0.014084507042253521,2,0,142,2,0.014084507042253521,0,2
,,,,,,1004,32,0.03187250996015936,13,19,1004,21,0.02091633466135458,11,10
Quartile,71,193.70833333333331,129.79166666666669,59.625,HFNL,142,7,0.04929577464788732,1,6,142,5,0.035211267605633804,4,1
,,,,,,1004,37,0.036852589641434265,18,19,1004,25,0.0249003984063745,10,15
Quartile,71,194.04166666666669,126.125,56,HFNL,142,4,0.028169014084507043,3,1,142,2,0.014084507042253521,1,1
,,,,,,1004,29,0.02888446215139442,13,16,1004,24,0.02390438247011952,13,11
Quartile,71,194.20833333333334,128.29166666666666,59.833333333333336,HFNL,142,5,0.035211267605633804,2,3,142,4,0.028169014084507043,2,2
,,,,,,1004,36,0.035856573705179286,16,20,1004,24,0.02390438247011952,12,12
Quartile,71,186.66666666666666,123.79166666666667,59.208333333333336,HFNL,142,8,0.056338028169014086,6,2,142,4,0.028169014084507043,2,2
,,,,,,1004,42,0.04183266932270916,18,24,1004,28,0.027888446215139442,19,9
Quartile,71,195.91666666666669,126.16666666666666,61.541666666666664,HFNL,142,7,0.04929577464788732,2,5,142,5,0.035211267605633804,3,2
,,,,,,1004,31,0.030876494023904383,13,18,1004,25,0.0249003984063745,13,12
Quartile,71,193.79166666666669,128.5,62.41666666666667,HFNL,142,8,0.056338028169014086,3,5,142,5,0.035211267605633804,2,3
,,,,,,1004,30,0.029880478087649404,18,12,1004,21,0.02091633466135458,6,15
Quartile,71,191.875,127.41666666666667,60.166666666666664,HFNL,142,4,0.028169014084507043,0,4,142,1,0.007042253521126761,1,0
,,,,,,1004,36,0.035856573705179286,20,16,1004,23,0.022908366533864542,10,13
Quartile,71,194.25,124.70833333333333,56.29166666666667,HFNL,142,9,0.06338028169014084,4,5,142,3,0.02112676056338028,2,1
,,,,,,1004,36,0.035856573705179286,15,21,1004,25,0.0249003984063745,14,11
Quartile,71,192.91666666666669,127.29166666666666,62.25,HFNL,142,4,0.028169014084507043,1,3,142,1,0.007042253521126761,0,1
,,,,,,1004,41,0.04083665338645418,21,20,1004,29,0.02888446215139442,13,16
Quartile,71,195.66666666666666,128.375,55.958333333333336,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,40,0.0398406374501992,22,18,1004,23,0.022908366533864542,7,16
Quartile,71,195.20833333333334,128.29166666666666,62.791666666666664,HFNL,142,5,0.035211267605633804,4,1,142,2,0.014084507042253521,0,2
