Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,66,167.79166666666669,120,69.04166666666666,HNFL,142,22,0.15492957746478872,12,10,142,71,0.5,33,38
,,,,,,1004,173,0.17231075697211157,80,93,1004,506,0.5039840637450199,255,251
Quartile,66,167.5,116.79166666666666,67.79166666666666,HNFL,142,25,0.176056338028169,12,13,142,72,0.5070422535211268,35,37
,,,,,,1004,161,0.1603585657370518,81,80,1004,510,0.5079681274900398,257,253
Quartile,66,172.25,119,72.75,HNFL,142,23,0.1619718309859155,12,11,142,69,0.4859154929577465,32,37
,,,,,,1004,176,0.1752988047808765,79,97,1004,509,0.5069721115537849,231,278
Quartile,66,168.58333333333331,122.79166666666667,68.54166666666666,HNFL,142,27,0.19014084507042253,11,16,142,80,0.5633802816901409,42,38
,,,,,,1004,179,0.17828685258964144,67,112,1004,510,0.5079681274900398,274,236
Quartile,66,170.79166666666666,118.29166666666666,68.70833333333333,HNFL,142,22,0.15492957746478872,11,11,142,79,0.5563380281690141,39,40
,,,,,,1004,165,0.1643426294820717,75,90,1004,509,0.5069721115537849,253,256
Quartile,66,168.29166666666666,121.125,70.29166666666666,HNFL,142,24,0.16901408450704225,12,12,142,73,0.5140845070422535,36,37
,,,,,,1004,178,0.17729083665338646,75,103,1004,514,0.5119521912350598,267,247
Quartile,66,169.79166666666666,123.29166666666667,66.79166666666666,HNFL,142,26,0.18309859154929578,12,14,142,73,0.5140845070422535,40,33
,,,,,,1004,154,0.15338645418326693,45,109,1004,498,0.4960159362549801,288,210
Quartile,66,165.70833333333331,117.79166666666666,67.75,HNFL,142,24,0.16901408450704225,13,11,142,69,0.4859154929577465,34,35
,,,,,,1004,185,0.18426294820717132,96,89,1004,526,0.5239043824701195,270,256
Quartile,66,167.70833333333331,117.33333333333334,70,HNFL,142,21,0.14788732394366197,10,11,142,72,0.5070422535211268,38,34
,,,,,,1004,178,0.17729083665338646,95,83,1004,533,0.5308764940239044,258,275
Quartile,66,169,116.41666666666666,69.91666666666666,HNFL,142,25,0.176056338028169,13,12,142,79,0.5563380281690141,40,39
,,,,,,1004,164,0.16334661354581673,91,73,1004,510,0.5079681274900398,242,268
Quartile,66,173.58333333333331,114.625,68.70833333333334,HNFL,142,24,0.16901408450704225,12,12,142,77,0.5422535211267606,38,39
,,,,,,1004,168,0.16733067729083664,97,71,1004,508,0.5059760956175299,237,271
Quartile,66,172,123.20833333333334,66.16666666666666,HNFL,142,25,0.176056338028169,14,11,142,70,0.49295774647887325,33,37
,,,,,,1004,169,0.16832669322709162,57,112,1004,500,0.49800796812749004,277,223
Quartile,66,166.91666666666669,118.375,65.58333333333333,HNFL,142,28,0.19718309859154928,14,14,142,74,0.5211267605633803,36,38
,,,,,,1004,179,0.17828685258964144,98,81,1004,520,0.5179282868525896,263,257
Quartile,66,168.91666666666669,120.41666666666667,65.5,HNFL,142,23,0.1619718309859155,12,11,142,77,0.5422535211267606,38,39
,,,,,,1004,170,0.1693227091633466,76,94,1004,515,0.5129482071713147,274,241
Quartile,66,165.5,116,66.20833333333333,HNFL,142,28,0.19718309859154928,16,12,142,80,0.5633802816901409,39,41
,,,,,,1004,174,0.17330677290836655,97,77,1004,524,0.5219123505976095,262,262
Quartile,66,169.875,116.41666666666667,68.70833333333333,HNFL,142,30,0.2112676056338028,14,16,142,76,0.5352112676056338,39,37
,,,,,,1004,167,0.16633466135458166,88,79,1004,513,0.5109561752988048,245,268
Quartile,66,163.79166666666666,119,65.875,HNFL,142,25,0.176056338028169,12,13,142,71,0.5,38,33
,,,,,,1004,177,0.17629482071713148,79,98,1004,510,0.5079681274900398,293,217
Quartile,66,167.375,116.79166666666666,64.91666666666667,HNFL,142,24,0.16901408450704225,12,12,142,72,0.5070422535211268,37,35
,,,,,,1004,157,0.15637450199203187,85,72,1004,505,0.5029880478087649,258,247
Quartile,66,165.625,118.41666666666666,69.45833333333333,HNFL,142,24,0.16901408450704225,11,13,142,75,0.528169014084507,40,35
,,,,,,1004,173,0.17231075697211157,80,93,1004,526,0.5239043824701195,270,256
