Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
,,,,,,998,11,0.011022044088176353,2,9,998,2,0.002004008016032064,1,1
MinMax,61,186,112,49,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,3,0.003006012024048096,3,0
MinMax,61,182,121.5,43,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,13,4,998,5,0.00501002004008016,0,5
MinMax,61,186,107,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,7,10,998,6,0.006012024048096192,6,0
MinMax,61,188,113.5,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,3,6,998,2,0.002004008016032064,1,1
MinMax,61,180,115.5,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,10,1,998,1,0.001002004008016032,1,0
MinMax,61,175.5,107,45.5,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,21,0.021042084168336674,15,6,998,5,0.00501002004008016,5,0
MinMax,61,189.5,119,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,1,8,998,0,0,0,0
MinMax,61,184,120.5,43,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,7,7,998,3,0.003006012024048096,0,3
MinMax,61,180,112,46.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,13,3,998,2,0.002004008016032064,1,1
MinMax,61,187,110,45,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,2,10,998,4,0.004008016032064128,4,0
MinMax,61,181.5,114,41,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,9,3,998,1,0.001002004008016032,1,0
MinMax,61,175,120.5,47,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,27,0.027054108216432865,25,2,998,2,0.002004008016032064,1,1
MinMax,61,178.5,128.5,40,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,22,0.022044088176352707,22,0,998,10,0.01002004008016032,0,10
MinMax,61,189.5,120.5,48.5,HFNL,142,4,0.028169014084507043,2,2,142,2,0.014084507042253521,1,1
,,,,,,998,13,0.013026052104208416,4,9,998,1,0.001002004008016032,0,1
MinMax,61,182.5,116.5,48.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,7,6,998,2,0.002004008016032064,1,1
MinMax,61,193,115.5,45,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,5,11,998,2,0.002004008016032064,1,1
MinMax,61,197.5,118,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,23,0.023046092184368736,1,22,998,2,0.002004008016032064,1,1
MinMax,61,179.5,112.5,46.5,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,11,5,998,4,0.004008016032064128,4,0
MinMax,61,179.5,119.5,45,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,7,1,998,0,0,0,0
MinMax,61,181.5,116,46.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,8,3,998,2,0.002004008016032064,1,1
MinMax,61,180.5,117,46.5,HFNL,142,4,0.028169014084507043,2,2,142,2,0.014084507042253521,1,1
,,,,,,998,10,0.01002004008016032,8,2,998,1,0.001002004008016032,1,0
MinMax,61,182.5,116,47.5,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,5,4,998,3,0.003006012024048096,2,1
MinMax,61,186,121.5,50,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,6,4,998,1,0.001002004008016032,0,1
MinMax,61,188.5,117.5,46,HFNL,142,0,0,0,0,142,0,0,0,0
